,Player,Team,Annual Salary
0,"Stephen Curry, PG",Golden State Warriors,"$43,006,362"
1,"Chris Paul, PG",Phoenix Suns,"$41,358,814"
2,"Russell Westbrook, PG",Washington Wizards,"$41,358,814"
3,"James Harden, SG",Brooklyn Nets,"$41,254,920"
4,"John Wall, PG",Houston Rockets,"$41,254,920"
5,"Kevin Durant, PF",Brooklyn Nets,"$40,108,950"
6,"LeBron James, SF",Los Angeles Lakers,"$39,219,565"
7,"Paul George, SG",LA Clippers,"$35,450,412"
8,"Klay Thompson, SG",Golden State Warriors,"$35,361,360"
9,"Mike Conley, PG",Utah Jazz,"$34,502,130"
10,"Kemba Walker, PG",Boston Celtics,"$34,379,100"
11,"Jimmy Butler, SF",Miami Heat,"$34,379,100"
12,"Kawhi Leonard, SF",LA Clippers,"$34,379,100"
13,"Tobias Harris, PF",Philadelphia 76ers,"$34,358,850"
14,"Khris Middleton, SF",Milwaukee Bucks,"$33,051,724"
15,"Anthony Davis, PF",Los Angeles Lakers,"$32,742,000"
16,"Kyrie Irving, PG",Brooklyn Nets,"$31,742,000"
17,"Damian Lillard, PG",Portland Trail Blazers,"$31,626,953"
18,"Kevin Love, PF",Cleveland Cavaliers,"$31,258,256"
19,"Pascal Siakam, PF",Toronto Raptors,"$30,559,200"
20,"Ben Simmons, PG",Philadelphia 76ers,"$30,559,200"
21,"Kyle Lowry, PG",Toronto Raptors,"$30,500,000"
22,"Steven Adams, C",New Orleans Pelicans,"$29,592,696"
23,"Joel Embiid, C",Philadelphia 76ers,"$29,542,010"
24,"Andrew Wiggins, SF",Golden State Warriors,"$29,542,010"
25,"Nikola Jokic, C",Denver Nuggets,"$29,542,010"
26,"Kristaps Porzingis, C",Dallas Mavericks,"$29,467,800"
27,"Devin Booker, SG",Phoenix Suns,"$29,467,800"
28,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$29,467,800"
29,"CJ McCollum, SG",Portland Trail Blazers,"$29,354,152"
30,"Bradley Beal, SG",Washington Wizards,"$28,751,775"
31,"D'Angelo Russell, PG",Minnesota Timberwolves,"$28,649,250"
32,"Gordon Hayward, SF",Charlotte Hornets,"$28,500,000"
33,"Otto Porter Jr., SF",Orlando Magic,"$28,489,237"
34,"DeMar DeRozan, SF",San Antonio Spurs,"$27,739,975"
35,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$27,528,090"
36,"Rudy Gobert, C",Utah Jazz,"$27,525,281"
37,"Al Horford, C",Oklahoma City Thunder,"$27,500,000"
38,"Jamal Murray, PG",Denver Nuggets,"$27,285,000"
39,"Brandon Ingram, SF",New Orleans Pelicans,"$27,285,000"
40,"Jrue Holiday, PG",Milwaukee Bucks,"$26,231,111"
41,"Nikola Vucevic, C",Chicago Bulls,"$26,000,000"
42,"Chandler Parsons, SF",Atlanta Hawks,"$25,102,511"
43,"Buddy Hield, SG",Sacramento Kings,"$24,701,834"
44,"LaMarcus Aldridge, C",Brooklyn Nets,"$24,000,000"
45,"Jaylen Brown, SG",Boston Celtics,"$23,735,118"
46,"Draymond Green, PF",Golden State Warriors,"$22,246,956"
47,"Harrison Barnes, SF",Sacramento Kings,"$22,215,909"
48,"Fred VanVleet, SG",Toronto Raptors,"$21,250,000"
49,"Victor Oladipo, SG",Miami Heat,"$21,000,000"
50,"Malcolm Brogdon, PG",Indiana Pacers,"$20,700,000"
51,"Domantas Sabonis, PF",Indiana Pacers,"$19,800,000"
52,"Gary Harris, SG",Orlando Magic,"$19,610,714"
53,"Zach LaVine, SG",Chicago Bulls,"$19,500,000"
54,"Danilo Gallinari, PF",Atlanta Hawks,"$19,500,000"
55,"Jerami Grant, SF",Detroit Pistons,"$19,050,000"
56,"Tim Hardaway Jr., SF",Dallas Mavericks,"$18,975,000"
57,"Terry Rozier, SG",Charlotte Hornets,"$18,900,000"
58,"Julius Randle, PF",New York Knicks,"$18,900,000"
59,"Allen Crabbe, G",Minnesota Timberwolves,"$18,500,000"
60,"Aaron Gordon, PF",Denver Nuggets,"$18,136,364"
61,"Goran Dragic, PG",Miami Heat,"$18,000,000"
62,"Myles Turner, C",Indiana Pacers,"$18,000,000"
63,"Bogdan Bogdanovic, SG",Atlanta Hawks,"$18,000,000"
64,"Bojan Bogdanovic, SF",Utah Jazz,"$17,850,000"
65,"Evan Fournier, SG",Boston Celtics,"$17,150,000"
66,"Ricky Rubio, PG",Minnesota Timberwolves,"$17,000,000"
67,"Eric Bledsoe, SG",New Orleans Pelicans,"$16,875,000"
68,"Eric Gordon, SG",Houston Rockets,"$16,869,276"
69,"Timofey Mozgov, C",Orlando Magic,"$16,720,000"
70,"Caris LeVert, SG",Indiana Pacers,"$16,203,704"
71,"Joe Harris, SF",Brooklyn Nets,"$16,071,429"
72,"James Johnson, PF",New Orleans Pelicans,"$16,047,100"
73,"Dennis Schroder, PG",Los Angeles Lakers,"$16,000,000"
74,"Clint Capela, C",Atlanta Hawks,"$16,000,000"
75,"Cody Zeller, C",Charlotte Hornets,"$15,415,730"
76,"Danny Green, SF",Philadelphia 76ers,"$15,365,853"
77,"Andre Iguodala, F",Miami Heat,"$15,000,000"
78,"Davis Bertans, SF",Washington Wizards,"$15,000,000"
79,"Jonas Valanciunas, C",Memphis Grizzlies,"$15,000,000"
80,"Marcus Morris Sr., SF",LA Clippers,"$14,888,721"
81,"Luke Babbitt, F",Miami Heat,"$14,651,700"
82,"Rudy Gay, SF",San Antonio Spurs,"$14,500,000"
83,"Kelly Oubre Jr., SG",Golden State Warriors,"$14,375,000"
84,"Dejounte Murray, PG",San Antonio Spurs,"$14,286,000"
85,"Will Barton, SF",Denver Nuggets,"$13,723,214"
86,"Marcin Gortat, C",LA Clippers,"$13,565,218"
87,"Thaddeus Young, PF",Chicago Bulls,"$13,545,000"
88,"Patty Mills, PG",San Antonio Spurs,"$13,535,714"
89,"Terrence Ross, SG",Orlando Magic,"$13,500,000"
90,"Marcus Smart, PG",Boston Celtics,"$13,446,428"
91,"Malik Beasley, SG",Minnesota Timberwolves,"$13,425,895"
92,"Patrick Beverley, PG",LA Clippers,"$13,333,333"
93,"Christian Wood, C",Houston Rockets,"$13,015,873"
94,"JJ Redick, SG",Dallas Mavericks,"$13,013,700"
95,"Justise Winslow, PF",Memphis Grizzlies,"$13,000,000"
96,"Jusuf Nurkic, C",Portland Trail Blazers,"$12,888,889"
97,"Trevor Ariza, SF",Miami Heat,"$12,800,000"
98,"Courtney Lee, G",Dallas Mavericks,"$12,759,670"
99,"Brook Lopez, C",Milwaukee Bucks,"$12,697,674"
100,"Cory Joseph, PG",Detroit Pistons,"$12,600,000"
101,"Kelly Olynyk, PF",Houston Rockets,"$12,598,243"
102,"Miles Plumlee, C",Memphis Grizzlies,"$12,500,000"
103,"Nikola Mirotic, F",Milwaukee Bucks,"$12,500,000"
104,"T.J. Warren, SF",Indiana Pacers,"$12,500,000"
105,"Tyreke Evans, G",Indiana Pacers,"$12,400,000"
106,"Markelle Fultz, PG",Orlando Magic,"$12,288,697"
107,"Taurean Prince, PF",Cleveland Cavaliers,"$12,250,000"
108,"Tony Snell, SF",Atlanta Hawks,"$12,178,571"
109,"Robert Covington, PF",Portland Trail Blazers,"$12,138,345"
110,"Kentavious Caldwell-Pope, SG",Los Angeles Lakers,"$12,073,020"
111,"Larry Nance Jr., PF",Cleveland Cavaliers,"$11,709,091"
112,"Zach Randolph, F",Dallas Mavericks,"$11,692,308"
113,"Jordan Clarkson, PG",Utah Jazz,"$11,500,000"
114,"Spencer Dinwiddie, PG",Brooklyn Nets,"$11,454,048"
115,"Dillon Brooks, SF",Memphis Grizzlies,"$11,400,000"
116,"Omer Asik, C",Chicago Bulls,"$11,286,516"
117,"Dwight Powell, C",Dallas Mavericks,"$11,080,125"
118,"Lonzo Ball, PG",New Orleans Pelicans,"$11,003,782"
119,"Josh Richardson, SG",Dallas Mavericks,"$10,865,952"
120,"Norman Powell, SF",Portland Trail Blazers,"$10,865,952"
121,"Joe Ingles, SG",Utah Jazz,"$10,863,637"
122,"Jeremy Lamb, SG",Indiana Pacers,"$10,500,000"
123,"DeAndre Jordan, C",Brooklyn Nets,"$10,375,678"
124,"Zion Williamson, PF",New Orleans Pelicans,"$10,245,480"
125,"Rodney Hood, SG",Toronto Raptors,"$10,047,450"
126,"Tomas Satoransky, SG",Chicago Bulls,"$10,000,000"
127,"Darren Collison, PG",Los Angeles Lakers,"$10,000,000"
128,"Jayson Tatum, SF",Boston Celtics,"$9,897,120"
129,"Anthony Edwards, SF",Minnesota Timberwolves,"$9,757,440"
130,"Al-Farouq Aminu, SF",Chicago Bulls,"$9,720,900"
131,"Dante Exum, PG",Cleveland Cavaliers,"$9,600,000"
132,"George Hill, PG",Philadelphia 76ers,"$9,590,602"
133,"De'Anthony Melton, SG",Memphis Grizzlies,"$9,571,712"
134,"Deandre Ayton, C",Phoenix Suns,"$9,562,920"
