,Player,Team,Annual Salary
135,"Kyle Anderson, SF",Memphis Grizzlies,"$9,505,100"
136,"Meyers Leonard, C",Miami Heat,"$9,400,000"
137,"Montrezl Harrell, C",Los Angeles Lakers,"$9,258,000"
138,"Derrick Favors, C",Utah Jazz,"$9,258,000"
139,"Jae Crowder, PF",Phoenix Suns,"$9,258,000"
140,"Serge Ibaka, C",LA Clippers,"$9,258,000"
141,"Derrick Jones Jr., SF",Portland Trail Blazers,"$9,258,000"
142,"Tristan Thompson, C",Boston Celtics,"$9,258,000"
143,"Dario Saric, PF",Phoenix Suns,"$9,250,000"
144,"Ja Morant, PG",Memphis Grizzlies,"$9,166,800"
145,"Delon Wright, SG",Sacramento Kings,"$9,000,000"
146,"Marvin Bagley III, PF",Sacramento Kings,"$8,963,640"
147,"Cedi Osman, SF",Cleveland Cavaliers,"$8,840,580"
148,"Tyus Jones, PG",Memphis Grizzlies,"$8,817,143"
149,"James Wiseman, C",Golden State Warriors,"$8,730,240"
150,"Royce O'Neale, PF",Utah Jazz,"$8,500,000"
151,"Thomas Bryant, C",Washington Wizards,"$8,333,333"
152,"CJ Miles, G",Boston Celtics,"$8,333,333"
153,"Maxi Kleber, PF",Dallas Mavericks,"$8,325,000"
154,"RJ Barrett, SG",New York Knicks,"$8,231,760"
155,"Jakob Poeltl, C",San Antonio Spurs,"$8,101,852"
156,"De'Aaron Fox, PG",Sacramento Kings,"$8,099,627"
157,"Luka Doncic, PG",Dallas Mavericks,"$8,049,360"
158,"Mason Plumlee, C",Detroit Pistons,"$8,000,000"
159,"Lou Williams, SG",Atlanta Hawks,"$8,000,000"
160,"P.J. Tucker, PF",Milwaukee Bucks,"$7,969,537"
161,"LaMelo Ball, PG",Charlotte Hornets,"$7,839,960"
162,"Seth Curry, SG",Philadelphia 76ers,"$7,834,449"
163,"Derrick Rose, PG",New York Knicks,"$7,682,927"
164,"Cristiano Felicio, PF",Chicago Bulls,"$7,529,020"
165,"Rajon Rondo, PG",LA Clippers,"$7,500,000"
166,"Darrell Arthur, F",Phoenix Suns,"$7,464,912"
167,"De'Andre Hunter, SF",Atlanta Hawks,"$7,422,000"
168,"Jonathan Isaac, PF",Orlando Magic,"$7,362,566"
169,"Doug McDermott, SF",Indiana Pacers,"$7,333,333"
170,"Robin Lopez, C",Washington Wizards,"$7,300,000"
171,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$7,257,360"
172,"JaMychal Green, PF",Denver Nuggets,"$7,199,760"
173,"Patrick Williams, PF",Chicago Bulls,"$7,068,360"
174,"Aron Baynes, C",Toronto Raptors,"$7,000,000"
175,"Darius Miller, SF",Oklahoma City Thunder,"$7,000,000"
176,"Ivica Zubac, C",LA Clippers,"$7,000,000"
177,"Chris Boucher, PF",Toronto Raptors,"$6,750,000"
178,"Lauri Markkanen, PF",Chicago Bulls,"$6,731,508"
179,"Darius Garland, PG",Cleveland Cavaliers,"$6,720,720"
180,"D.J. Augustin, G",Houston Rockets,"$6,666,667"
181,"Trae Young, PG",Atlanta Hawks,"$6,571,800"
182,"Juancho Hernangomez, F",Minnesota Timberwolves,"$6,493,000"
183,"Isaac Okoro, SF",Cleveland Cavaliers,"$6,400,920"
184,"Milos Teodosic, G",LA Clippers,"$6,300,000"
185,"Frank Ntilikina, PG",New York Knicks,"$6,176,578"
186,"Wesley Johnson, F",Washington Wizards,"$6,134,520"
187,"Jarrett Culver, G",Minnesota Timberwolves,"$6,104,280"
188,"Ish Smith, PG",Washington Wizards,"$6,000,000"
189,"Alec Burks, SG",New York Knicks,"$6,000,000"
190,"Mo Bamba, C",Orlando Magic,"$5,969,040"
191,"Onyeka Okongwu, PF",Atlanta Hawks,"$5,813,640"
192,"Justin Holiday, SF",Indiana Pacers,"$5,720,000"
193,"Jonathon Simmons, G",Washington Wizards,"$5,700,000"
194,"Dennis Smith Jr., PG",Detroit Pistons,"$5,686,677"
195,"Avery Bradley, PG",Houston Rockets,"$5,635,000"
196,"Coby White, PG",Chicago Bulls,"$5,572,680"
197,"Trey Lyles, PF",San Antonio Spurs,"$5,500,000"
198,"Alex Abrines, G",Oklahoma City Thunder,"$5,455,236"
199,"Jason Smith, F",New Orleans Pelicans,"$5,450,000"
200,"Wendell Carter Jr., C",Orlando Magic,"$5,448,840"
201,"Zach Collins, PF",San Antonio Spurs,"$5,406,255"
202,"Malik Monk, SG",Charlotte Hornets,"$5,345,687"
203,"Killian Hayes, PG",Detroit Pistons,"$5,307,120"
204,"Alexis Ajinca, C",LA Clippers,"$5,285,394"
205,"Luke Kennard, SG",LA Clippers,"$5,273,826"
206,"Donovan Mitchell, SG",Utah Jazz,"$5,195,501"
207,"Rodney McGruder, G",Detroit Pistons,"$5,192,307"
208,"Bam Adebayo, C",Miami Heat,"$5,115,492"
209,"Jaxson Hayes, C",New Orleans Pelicans,"$5,105,160"
210,"Richaun Holmes, C",Sacramento Kings,"$5,005,350"
211,"Mike Scott, PF",Philadelphia 76ers,"$5,005,350"
212,"Ed Davis, C",Minnesota Timberwolves,"$5,005,350"
213,"Enes Freedom, C",Portland Trail Blazers,"$5,005,350"
214,"Elfrid Payton, PG",New York Knicks,"$5,000,000"
215,"Nerlens Noel, C",New York Knicks,"$5,000,000"
216,"Dirk Nowitzki, F",Dallas Mavericks,"$5,000,000"
217,"Daniel Theis, C",Chicago Bulls,"$5,000,000"
218,"Kyle Singler, F",Oklahoma City Thunder,"$4,996,000"
219,"Collin Sexton, PG",Cleveland Cavaliers,"$4,991,880"
220,"Pat Connaughton, SG",Milwaukee Bucks,"$4,938,272"
221,"Obi Toppin, PF",New York Knicks,"$4,862,040"
222,"Josh Jackson, SG",Detroit Pistons,"$4,767,000"
223,"Kris Dunn, PG",Atlanta Hawks,"$4,767,000"
224,"Garrett Temple, SF",Chicago Bulls,"$4,767,000"
225,"Rui Hachimura, PF",Washington Wizards,"$4,692,840"
226,"Denzel Valentine, SG",Chicago Bulls,"$4,642,800"
227,"Kevin Knox II, F",New York Knicks,"$4,588,680"
228,"D.J. Wilson, F",Houston Rockets,"$4,548,280"
229,"Deni Avdija, SF",Washington Wizards,"$4,469,160"
230,"Kevon Looney, C",Golden State Warriors,"$4,464,226"
231,"Cam Reddish, SF",Atlanta Hawks,"$4,458,000"
232,"T.J. Leaf, PF",Portland Trail Blazers,"$4,326,825"
233,"Jalen Smith, F",Phoenix Suns,"$4,245,720"
234,"JaVale McGee, C",Denver Nuggets,"$4,200,000"
235,"Reggie Bullock, SF",New York Knicks,"$4,200,000"
236,"Mikal Bridges, SF",Phoenix Suns,"$4,161,000"
237,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$4,141,320"
238,"John Collins, PF",Atlanta Hawks,"$4,137,302"
239,"Nicolo Melli, PF",Dallas Mavericks,"$4,102,564"
240,"Willie Cauley-Stein, C",Dallas Mavericks,"$4,100,000"
241,"Devin Vassell, SG",San Antonio Spurs,"$4,033,440"
242,"Cameron Johnson, SF",Phoenix Suns,"$4,033,440"
243,"P.J. Washington, PF",Charlotte Hornets,"$4,023,600"
244,"Patrick McCaw, SF",Toronto Raptors,"$4,000,000"
245,"Dorian Finney-Smith, PF",Dallas Mavericks,"$4,000,000"
246,"Terrance Ferguson, SF",Philadelphia 76ers,"$3,944,013"
247,"Miles Bridges, SF",Charlotte Hornets,"$3,934,320"
248,"Jevon Carter, PG",Phoenix Suns,"$3,925,000"
249,"Jarrett Allen, C",Cleveland Cavaliers,"$3,909,902"
250,"OG Anunoby, SF",Toronto Raptors,"$3,872,215"
251,"Gabriel Deck, SF",Oklahoma City Thunder,"$3,870,370"
252,"Tyrese Haliburton, PG",Sacramento Kings,"$3,831,840"
253,"Stanley Johnson, PF",Toronto Raptors,"$3,804,150"
254,"Jake Layman, SF",Minnesota Timberwolves,"$3,761,085"
255,"Jerome Robinson, SG",Washington Wizards,"$3,737,520"
256,"Danuel House Jr., SF",Houston Rockets,"$3,717,000"
257,"Kira Lewis Jr., PG",New Orleans Pelicans,"$3,640,200"
258,"Romeo Langford, SG",Boston Celtics,"$3,631,200"
259,"Maurice Harkless, SF",Sacramento Kings,"$3,623,000"
260,"Bobby Portis, C",Milwaukee Bucks,"$3,623,000"
261,"Wesley Matthews, SG",Los Angeles Lakers,"$3,623,000"
262,"Kyle Kuzma, SF",Los Angeles Lakers,"$3,562,178"
263,"Allonzo Trier, G",New York Knicks,"$3,551,000"
264,"Michael Porter Jr., SF",Denver Nuggets,"$3,550,800"
265,"Tony Bradley, C",Oklahoma City Thunder,"$3,542,060"
266,"Derrick White, PG",San Antonio Spurs,"$3,516,284"
267,"Bismack Biyombo, C",Charlotte Hornets,"$3,500,000"
268,"Michael Beasley, F",Brooklyn Nets,"$3,500,000"
269,"Luca Vildoza, G",Milwaukee Bucks,"$3,500,000"
270,"T.J. McConnell, PG",Indiana Pacers,"$3,500,000"
271,"Boban Marjanovic, C",Dallas Mavericks,"$3,500,000"
272,"Josh Hart, SG",New Orleans Pelicans,"$3,491,159"
273,"Aaron Nesmith, SF",Boston Celtics,"$3,458,400"
274,"Sekou Doumbouya, SF",Detroit Pistons,"$3,449,400"
275,"Michael Carter-Williams, PG",Orlando Magic,"$3,300,000"
276,"James Ennis III, F",Orlando Magic,"$3,300,000"
277,"Cole Anthony, PG",Orlando Magic,"$3,285,120"
278,"Troy Brown Jr., SF",Chicago Bulls,"$3,219,480"
279,"Facundo Campazzo, PG",Denver Nuggets,"$3,200,000"
280,"Chuma Okeke, PF",Orlando Magic,"$3,121,080"
281,"Isaiah Stewart, C",Detroit Pistons,"$3,121,080"
282,"Nickeil Alexander-Walker, SG",New Orleans Pelicans,"$3,113,160"
283,"Patrick Patterson, PF",LA Clippers,"$3,077,704"
284,"Donte DiVincenzo, SG",Milwaukee Bucks,"$3,044,160"
285,"Khem Birch, C",Toronto Raptors,"$3,000,000"
286,"Ryan Arcidiacono, G",Chicago Bulls,"$3,000,000"
287,"Trey Burke, PG",Dallas Mavericks,"$3,000,000"
288,"Aleksej Pokusevski, C",Oklahoma City Thunder,"$2,964,840"
289,"Goga Bitadze, C",Indiana Pacers,"$2,957,520"
290,"Lonnie Walker IV, SG",San Antonio Spurs,"$2,892,000"
291,"Luka Samanic, PF",San Antonio Spurs,"$2,892,000"
292,"Josh Green, SG",Dallas Mavericks,"$2,816,760"
293,"Kevin Huerter, SG",Atlanta Hawks,"$2,761,920"
294,"Alex Caruso, SG",Los Angeles Lakers,"$2,750,000"
295,"Matisse Thybulle, SG",Philadelphia 76ers,"$2,711,280"
296,"Saddiq Bey, SF",Detroit Pistons,"$2,689,920"
297,"Josh Okogie, SF",Minnesota Timberwolves,"$2,651,040"
298,"Marko Guduric, G",Memphis Grizzlies,"$2,625,000"
299,"Vincent Poirier, C",Philadelphia 76ers,"$2,619,207"
300,"Brandon Clarke, PF",Memphis Grizzlies,"$2,602,920"
301,"Precious Achiuwa, PF",Miami Heat,"$2,582,160"
302,"Tyler Herro, PG",Miami Heat,"$2,582,160"
303,"Marc Gasol, C",Los Angeles Lakers,"$2,564,753"
304,"Nene Hilario, C",Atlanta Hawks,"$2,564,753"
305,"Grayson Allen, SG",Memphis Grizzlies,"$2,545,320"
306,"Manu Ginobili, G",San Antonio Spurs,"$2,500,000"
307,"Grant Williams, PF",Boston Celtics,"$2,498,760"
308,"Tyrese Maxey, PG",Philadelphia 76ers,"$2,478,840"
309,"Emeka Okafor, C",Philadelphia 76ers,"$2,445,085"
310,"Kendrick Perkins, C",Cleveland Cavaliers,"$2,445,085"
311,"Chandler Hutchison, SF",Washington Wizards,"$2,443,440"
312,"Tyler Zeller, C",Atlanta Hawks,"$2,436,046"
313,"Aaron Holiday, PG",Indiana Pacers,"$2,345,640"
314,"Darius Bazley, PF",Oklahoma City Thunder,"$2,339,160"
315,"Bryn Forbes, SG",Milwaukee Bucks,"$2,337,145"
316,"Ty Jerome, SG",Oklahoma City Thunder,"$2,303,040"
317,"Zeke Nnaji, PF",Denver Nuggets,"$2,284,800"
318,"Mike Muscala, C",Oklahoma City Thunder,"$2,283,034"
319,"Ben McLemore, SG",Los Angeles Lakers,"$2,283,034"
320,"Anfernee Simons, SG",Portland Trail Blazers,"$2,252,040"
321,"Brad Wanamaker, PG",Charlotte Hornets,"$2,250,000"
322,"Luke Kornet, F",Boston Celtics,"$2,250,000"
323,"Brandon Jennings, G",Milwaukee Bucks,"$2,222,803"
324,"Nassir Little, SF",Portland Trail Blazers,"$2,210,640"
325,"Payton Pritchard, PG",Boston Celtics,"$2,193,480"
326,"R.J. Hampton, PG",Orlando Magic,"$2,193,040"
327,"Edmond Sumner, PG",Indiana Pacers,"$2,160,000"
328,"Dylan Windler, SG",Cleveland Cavaliers,"$2,137,440"
329,"Immanuel Quickley, SG",New York Knicks,"$2,105,520"
330,"John Konchar, SG",Memphis Grizzlies,"$2,100,000"
331,"Landry Shamet, SG",Brooklyn Nets,"$2,090,040"
332,"Jordan Poole, SG",Golden State Warriors,"$2,063,280"
333,"Bol Bol, C",Denver Nuggets,"$2,058,240"
334,"Sean Kilpatrick, G",Chicago Bulls,"$2,054,856"
335,"Keldon Johnson, SF",San Antonio Spurs,"$2,048,040"
336,"Robert Williams III, C",Boston Celtics,"$2,029,920"
337,"Bruno Caboclo, F",Houston Rockets,"$2,028,594"
338,"Jacob Evans, G",New York Knicks,"$2,017,320"
339,"Dzanan Musa, F",Detroit Pistons,"$2,002,800"
340,"Theo Maledon, PG",Oklahoma City Thunder,"$2,000,000"
341,"Kenrich Williams, SF",Oklahoma City Thunder,"$2,000,000"
342,"Damyean Dotson, SG",Cleveland Cavaliers,"$2,000,000"
343,"Gary Clark, F",Philadelphia 76ers,"$2,000,000"
344,"Omari Spellman, F",New York Knicks,"$1,988,280"
345,"Cameron Payne, PG",Phoenix Suns,"$1,977,011"
346,"Udoka Azubuike, C",Utah Jazz,"$1,977,000"
347,"Jaden McDaniels, PF",Minnesota Timberwolves,"$1,964,760"
348,"Malachi Flynn, PG",Toronto Raptors,"$1,950,600"
349,"Desmond Bane, SG",Memphis Grizzlies,"$1,936,440"
350,"Jontay Porter, PF",Memphis Grizzlies,"$1,900,000"
351,"Jahlil Okafor, C",Detroit Pistons,"$1,882,867"
352,"David Nwaba, SF",Houston Rockets,"$1,824,003"
353,"Marquese Chriss, SF",Golden State Warriors,"$1,824,003"
354,"DeAndre Liggins, G",Miami Heat,"$1,795,015"
355,"Georges Niang, SF",Utah Jazz,"$1,783,557"
356,"Furkan Korkmaz, SG",Philadelphia 76ers,"$1,762,796"
357,"Damion Lee, SG",Golden State Warriors,"$1,762,796"
358,"Alfonzo McKinnie, F",Los Angeles Lakers,"$1,762,796"
359,"P.J. Dozier, SG",Denver Nuggets,"$1,762,796"
360,"Abdel Nader, SF",Phoenix Suns,"$1,752,950"
361,"Semi Ojeleye, PF",Boston Celtics,"$1,752,950"
362,"Mario Hezonja, F",Memphis Grizzlies,"$1,737,145"
363,"DeAndre' Bembry, SG",Toronto Raptors,"$1,737,145"
364,"Kevin Porter Jr., SG",Houston Rockets,"$1,717,981"
365,"Shake Milton, SG",Philadelphia 76ers,"$1,701,593"
366,"Thanasis Antetokounmpo, SF",Milwaukee Bucks,"$1,701,593"
367,"Brandon Goodwin, G",Atlanta Hawks,"$1,701,593"
368,"Jonah Bolden, PF",Phoenix Suns,"$1,698,450"
369,"Dwayne Bacon, SG",Orlando Magic,"$1,678,854"
370,"Dragan Bender, F",Golden State Warriors,"$1,678,854"
371,"Wes Iwundu, SF",New Orleans Pelicans,"$1,678,854"
372,"Isaac Bonga, G",Washington Wizards,"$1,663,861"
373,"Gary Trent Jr., SG",Toronto Raptors,"$1,663,861"
374,"Svi Mykhailiuk, SG",Oklahoma City Thunder,"$1,663,861"
375,"Keita Bates-Diop, SF",San Antonio Spurs,"$1,663,861"
376,"Mitchell Robinson, C",New York Knicks,"$1,663,861"
377,"Bruce Brown, SF",Brooklyn Nets,"$1,663,861"
378,"Duncan Robinson, SG",Miami Heat,"$1,663,861"
379,"Kendrick Nunn, G",Miami Heat,"$1,663,861"
380,"Hamidou Diallo, SG",Detroit Pistons,"$1,663,861"
381,"Jalen Brunson, PG",Dallas Mavericks,"$1,663,861"
382,"Jarred Vanderbilt, PF",Minnesota Timberwolves,"$1,663,361"
383,"Julyan Stone, G",Chicago Bulls,"$1,656,092"
384,"MarShon Brooks, G",Chicago Bulls,"$1,656,092"
385,"Isaiah Thomas, G",New Orleans Pelicans,"$1,620,564"
386,"Shaquille Harrison, G",Denver Nuggets,"$1,620,564"
387,"Isaiah Taylor, G",Toronto Raptors,"$1,620,564"
388,"Raul Neto, PG",Washington Wizards,"$1,620,564"
389,"Hassan Whiteside, C",Sacramento Kings,"$1,620,564"
390,"Tyler Johnson, G",Brooklyn Nets,"$1,620,564"
391,"Tyler Lydon, F",Sacramento Kings,"$1,620,564"
392,"Glenn Robinson III, F",Sacramento Kings,"$1,620,564"
393,"Drew Eubanks, PF",San Antonio Spurs,"$1,620,564"
394,"Quinn Cook, PG",Cleveland Cavaliers,"$1,620,564"
395,"Frank Kaminsky, PF",Phoenix Suns,"$1,620,564"
396,"Torrey Craig, SF",Phoenix Suns,"$1,620,564"
397,"E'Twaun Moore, G",Phoenix Suns,"$1,620,564"
398,"Solomon Hill, SF",Atlanta Hawks,"$1,620,564"
399,"Josh Gray, G",Brooklyn Nets,"$1,620,564"
400,"Wilson Chandler, F",Brooklyn Nets,"$1,620,564"
401,"Langston Galloway, SG",Phoenix Suns,"$1,620,564"
402,"Markieff Morris, PF",Los Angeles Lakers,"$1,620,564"
403,"Udonis Haslem, PF",Miami Heat,"$1,620,564"
404,"Wenyen Gabriel, F",New Orleans Pelicans,"$1,620,564"
405,"Kent Bazemore, SF",Golden State Warriors,"$1,620,564"
406,"Wayne Ellington, SG",Detroit Pistons,"$1,620,564"
407,"Jared Dudley, SF",Los Angeles Lakers,"$1,620,564"
408,"Dwight Howard, C",Philadelphia 76ers,"$1,620,564"
409,"Carmelo Anthony, PF",Portland Trail Blazers,"$1,620,564"
410,"Isaiah Hartenstein, C",Cleveland Cavaliers,"$1,620,564"
411,"Harry Giles III, PF",Portland Trail Blazers,"$1,620,564"
412,"Reggie Jackson, PG",LA Clippers,"$1,620,564"
413,"Nicolas Batum, PF",LA Clippers,"$1,620,564"
414,"JaKarr Sampson, SF",Indiana Pacers,"$1,620,564"
415,"Ryan Anderson, PF",Houston Rockets,"$1,620,564"
416,"Gerald Green, G",Houston Rockets,"$1,620,564"
417,"Jeff Green, PF",Brooklyn Nets,"$1,620,564"
418,"Sterling Brown, SF",Houston Rockets,"$1,620,564"
419,"J.J. Barea, G",Dallas Mavericks,"$1,620,564"
420,"Thon Maker, F",Cleveland Cavaliers,"$1,620,564"
421,"Jarell Martin, F",Cleveland Cavaliers,"$1,620,564"
422,"Matthew Dellavedova, PG",Cleveland Cavaliers,"$1,620,564"
