,Player,Team,Annual Salary
0,"Stephen Curry, PG",Golden State Warriors,"$40,231,758"
1,"Chris Paul, PG",Oklahoma City Thunder,"$38,506,482"
2,"Russell Westbrook, PG",Houston Rockets,"$38,506,482"
3,"James Harden, SG",Houston Rockets,"$38,199,000"
4,"Kevin Durant, PF",Brooklyn Nets,"$38,199,000"
5,"John Wall, PG",Houston Rockets,"$38,199,000"
6,"LeBron James, SF",Los Angeles Lakers,"$37,436,858"
7,"Kyle Lowry, PG",Toronto Raptors,"$34,996,296"
8,"Blake Griffin, PF",Detroit Pistons,"$34,449,964"
9,"Tobias Harris, PF",Philadelphia 76ers,"$32,742,000"
10,"Kemba Walker, PG",Boston Celtics,"$32,742,000"
11,"Jimmy Butler, SF",Miami Heat,"$32,742,000"
12,"Kawhi Leonard, SF",LA Clippers,"$32,742,000"
13,"Klay Thompson, SG",Golden State Warriors,"$32,742,000"
14,"Gordon Hayward, SF",Boston Celtics,"$32,700,690"
15,"Mike Conley, PG",Utah Jazz,"$32,511,624"
16,"Kyrie Irving, PG",Brooklyn Nets,"$31,742,000"
17,"Khris Middleton, SF",Milwaukee Bucks,"$30,603,448"
18,"Paul George, SG",LA Clippers,"$30,560,700"
19,"Paul Millsap, PF",Denver Nuggets,"$30,350,000"
20,"Damian Lillard, PG",Portland Trail Blazers,"$29,802,321"
21,"Kevin Love, PF",Cleveland Cavaliers,"$28,942,830"
22,"Nikola Vucevic, C",Orlando Magic,"$28,000,000"
23,"Al Horford, C",Philadelphia 76ers,"$28,000,000"
24,"DeMar DeRozan, SF",San Antonio Spurs,"$27,739,975"
25,"CJ McCollum, SG",Portland Trail Blazers,"$27,556,959"
26,"Joel Embiid, C",Philadelphia 76ers,"$27,504,630"
27,"Andrew Wiggins, SF",Golden State Warriors,"$27,504,630"
28,"Nikola Jokic, C",Denver Nuggets,"$27,504,630"
29,"Kristaps Porzingis, C",Dallas Mavericks,"$27,285,000"
30,"Devin Booker, SG",Phoenix Suns,"$27,285,000"
31,"D'Angelo Russell, PG",Minnesota Timberwolves,"$27,285,000"
32,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$27,285,000"
33,"Otto Porter Jr., SF",Chicago Bulls,"$27,250,575"
34,"Bradley Beal, SG",Washington Wizards,"$27,093,019"
35,"Andre Drummond, C",Cleveland Cavaliers,"$27,093,019"
36,"Anthony Davis, PF",Los Angeles Lakers,"$27,093,018"
37,"Hassan Whiteside, C",Portland Trail Blazers,"$27,093,017"
38,"Jrue Holiday, PG",New Orleans Pelicans,"$26,231,111"
39,"LaMarcus Aldridge, C",San Antonio Spurs,"$26,000,000"
40,"Steven Adams, C",Oklahoma City Thunder,"$25,842,697"
41,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$25,842,697"
42,"Marc Gasol, C",Toronto Raptors,"$25,595,700"
43,"Nicolas Batum, PF",Charlotte Hornets,"$25,565,217"
44,"Chandler Parsons, SF",Atlanta Hawks,"$25,102,511"
45,"Harrison Barnes, SF",Sacramento Kings,"$24,147,727"
46,"Serge Ibaka, C",Toronto Raptors,"$23,271,604"
47,"Rudy Gobert, C",Utah Jazz,"$23,241,573"
48,"Danilo Gallinari, PF",Oklahoma City Thunder,"$22,615,559"
49,"Victor Oladipo, SG",Indiana Pacers,"$21,000,000"
50,"Tim Hardaway Jr., SF",Dallas Mavericks,"$20,025,127"
51,"Malcolm Brogdon, PG",Indiana Pacers,"$20,000,000"
52,"Terry Rozier, SG",Charlotte Hornets,"$19,894,737"
53,"Aaron Gordon, PF",Orlando Magic,"$19,863,636"
54,"Zach LaVine, SG",Chicago Bulls,"$19,500,000"
55,"Kent Bazemore, SF",Sacramento Kings,"$19,269,662"
56,"Goran Dragic, PG",Miami Heat,"$19,217,900"
57,"Jeff Teague, PG",Atlanta Hawks,"$19,000,000"
58,"Evan Turner, G",Atlanta Hawks,"$18,606,556"
59,"Draymond Green, PF",Golden State Warriors,"$18,539,130"
60,"Tristan Thompson, C",Cleveland Cavaliers,"$18,539,130"
61,"Allen Crabbe, G",Minnesota Timberwolves,"$18,500,000"
62,"Julius Randle, PF",New York Knicks,"$18,000,000"
63,"Myles Turner, C",Indiana Pacers,"$18,000,000"
64,"Gary Harris, SG",Denver Nuggets,"$17,839,286"
65,"Derrick Favors, C",New Orleans Pelicans,"$17,650,000"
66,"Andre Iguodala, F",Miami Heat,"$17,185,185"
67,"Evan Fournier, SG",Orlando Magic,"$17,150,000"
68,"Bojan Bogdanovic, SF",Utah Jazz,"$17,000,000"
69,"Bismack Biyombo, C",Charlotte Hornets,"$17,000,000"
70,"Timofey Mozgov, C",Orlando Magic,"$16,720,000"
71,"Gorgui Dieng, C",Memphis Grizzlies,"$16,229,213"
72,"Ricky Rubio, PG",Phoenix Suns,"$16,200,000"
73,"Jonas Valanciunas, C",Memphis Grizzlies,"$16,000,000"
74,"Brandon Knight, PG",Detroit Pistons,"$15,643,750"
75,"Kelly Oubre Jr., SG",Phoenix Suns,"$15,625,000"
76,"Eric Bledsoe, SG",Milwaukee Bucks,"$15,625,000"
77,"Dennis Schroder, PG",Oklahoma City Thunder,"$15,500,000"
78,"Ian Mahinmi, C",Washington Wizards,"$15,450,051"
79,"James Johnson, PF",Minnesota Timberwolves,"$15,349,400"
80,"Bobby Portis, C",New York Knicks,"$15,000,000"
81,"Marcus Morris Sr., SF",LA Clippers,"$15,000,000"
82,"Clint Capela, C",Houston Rockets,"$14,896,552"
83,"Luke Babbitt, F",Miami Heat,"$14,651,700"
84,"Danny Green, SF",Los Angeles Lakers,"$14,634,146"
85,"Rudy Gay, SF",San Antonio Spurs,"$14,500,000"
86,"Cody Zeller, C",Charlotte Hornets,"$14,471,910"
87,"Eric Gordon, SG",Houston Rockets,"$14,057,730"
88,"Mason Plumlee, C",Denver Nuggets,"$14,041,096"
89,"Marcin Gortat, C",LA Clippers,"$13,565,218"
90,"JJ Redick, SG",New Orleans Pelicans,"$13,486,300"
91,"Jordan Clarkson, PG",Utah Jazz,"$13,437,500"
92,"Dewayne Dedmon, C",Atlanta Hawks,"$13,333,333"
93,"Jusuf Nurkic, C",Portland Trail Blazers,"$13,125,000"
94,"Justise Winslow, PF",Miami Heat,"$13,000,000"
95,"Thaddeus Young, PF",Chicago Bulls,"$12,900,000"
96,"Will Barton, SF",Denver Nuggets,"$12,776,786"
97,"Courtney Lee, G",Dallas Mavericks,"$12,759,670"
98,"Solomon Hill, SF",Miami Heat,"$12,758,781"
99,"Larry Nance Jr., PF",Cleveland Cavaliers,"$12,727,273"
100,"Kelly Olynyk, PF",Miami Heat,"$12,667,885"
101,"Marcus Smart, PG",Boston Celtics,"$12,553,571"
102,"Miles Plumlee, C",Memphis Grizzlies,"$12,500,000"
103,"Terrence Ross, SG",Orlando Magic,"$12,500,000"
104,"Nikola Mirotic, F",Milwaukee Bucks,"$12,500,000"
105,"Patty Mills, PG",San Antonio Spurs,"$12,428,571"
106,"Tyreke Evans, G",Indiana Pacers,"$12,400,000"
107,"Patrick Beverley, PG",LA Clippers,"$12,345,680"
