,Player,Team,Annual Salary
197,"Mike Muscala, C",Los Angeles Lakers,"$5,000,000"
198,"Alan Williams, C",Brooklyn Nets,"$5,000,000"
199,"Dirk Nowitzki, F",Dallas Mavericks,"$5,000,000"
200,"Kyle Singler, F",Oklahoma City Thunder,"$4,996,000"
201,"Jonathan Isaac, PF",Orlando Magic,"$4,969,080"
202,"Mo Bamba, C",Orlando Magic,"$4,865,040"
203,"Anthony Tolliver, PF",Minnesota Timberwolves,"$4,750,000"
204,"Willie Cauley-Stein, C",Sacramento Kings,"$4,696,875"
205,"Dragan Bender, F",Phoenix Suns,"$4,661,280"
206,"Lauri Markkanen, PF",Chicago Bulls,"$4,536,120"
207,"Kyle O'Quinn, C",Indiana Pacers,"$4,449,000"
208,"Lance Stephenson, G",Los Angeles Lakers,"$4,449,000"
209,"Ed Davis, C",Brooklyn Nets,"$4,449,000"
210,"Wendell Carter Jr., C",Chicago Bulls,"$4,441,200"
211,"Justin Holiday, SF",Memphis Grizzlies,"$4,384,616"
212,"Alex Len, C",Atlanta Hawks,"$4,350,000"
213,"Mike Scott, PF",Philadelphia 76ers,"$4,320,500"
214,"Luc Mbah a Moute, F",LA Clippers,"$4,320,500"
215,"Emmanuel Mudiay, G",New York Knicks,"$4,294,480"
216,"Kris Dunn, PG",Chicago Bulls,"$4,221,000"
217,"Frank Ntilikina, PG",New York Knicks,"$4,155,720"
218,"Glenn Robinson III, F",Detroit Pistons,"$4,075,000"
219,"Collin Sexton, PG",Cleveland Cavaliers,"$4,068,600"
220,"Stanley Johnson, PF",New Orleans Pelicans,"$3,940,402"
221,"Buddy Hield, SG",Sacramento Kings,"$3,844,760"
222,"Dennis Smith Jr., PG",New York Knicks,"$3,819,960"
223,"Kevin Knox II, F",New York Knicks,"$3,739,920"
224,"J.J. Barea, G",Dallas Mavericks,"$3,710,850"
225,"Nene Hilario, C",Houston Rockets,"$3,651,480"
226,"Zach Collins, PF",Portland Trail Blazers,"$3,628,920"
227,"Frank Kaminsky, PF",Charlotte Hornets,"$3,627,842"
228,"Mikal Bridges, SF",Phoenix Suns,"$3,552,960"
229,"Michael Beasley, F",Los Angeles Lakers,"$3,500,000"
230,"Jamal Murray, PG",Denver Nuggets,"$3,499,800"
231,"Rodney Hood, SG",Portland Trail Blazers,"$3,472,887"
232,"Jodie Meeks, G",Toronto Raptors,"$3,454,500"
233,"Justise Winslow, PF",Miami Heat,"$3,448,926"
234,"Malik Monk, SG",Charlotte Hornets,"$3,447,480"
235,"Myles Turner, C",Indiana Pacers,"$3,410,284"
236,"Allonzo Trier, G",New York Knicks,"$3,382,000"
237,"Brook Lopez, C",Milwaukee Bucks,"$3,382,000"
238,"Shai Gilgeous-Alexander, PG",LA Clippers,"$3,375,360"
239,"Trey Lyles, PF",Denver Nuggets,"$3,364,249"
240,"Ekpe Udoh, F",Utah Jazz,"$3,360,000"
241,"Devin Booker, SG",Phoenix Suns,"$3,314,365"
242,"Luke Kennard, SG",Detroit Pistons,"$3,275,280"
243,"Cameron Payne, PG",Cleveland Cavaliers,"$3,263,294"
244,"Troy Daniels, G",Phoenix Suns,"$3,258,539"
245,"Kelly Oubre Jr., SG",Phoenix Suns,"$3,208,630"
246,"Miles Bridges, SF",Charlotte Hornets,"$3,206,640"
247,"Marquese Chriss, SF",Cleveland Cavaliers,"$3,206,160"
248,"Tomas Satoransky, SG",Washington Wizards,"$3,129,187"
249,"Bryn Forbes, SG",San Antonio Spurs,"$3,125,000"
250,"Donovan Mitchell, SG",Utah Jazz,"$3,111,480"
251,"Terry Rozier, SG",Boston Celtics,"$3,050,390"
252,"Jerome Robinson, SG",LA Clippers,"$3,046,200"
253,"Elfrid Payton, PG",New Orleans Pelicans,"$3,000,000"
254,"Yogi Ferrell, PG",Sacramento Kings,"$3,000,000"
255,"Bam Adebayo, C",Miami Heat,"$2,955,840"
256,"Jakob Poeltl, C",San Antonio Spurs,"$2,947,320"
257,"Michael Porter Jr., SF",Denver Nuggets,"$2,894,160"
258,"Justin Jackson, F",Dallas Mavericks,"$2,807,880"
259,"Thon Maker, F",Detroit Pistons,"$2,799,720"
260,"Seth Curry, SG",Portland Trail Blazers,"$2,795,000"
261,"Cedi Osman, SF",Cleveland Cavaliers,"$2,775,000"
262,"Sam Dekker, F",Washington Wizards,"$2,760,095"
263,"Troy Brown Jr., SF",Washington Wizards,"$2,749,080"
264,"Justin Patton, C",Philadelphia 76ers,"$2,667,600"
265,"Guerschon Yabusele, F",Boston Celtics,"$2,667,600"
266,"Domantas Sabonis, PF",Indiana Pacers,"$2,659,800"
267,"Jerian Grant, G",Orlando Magic,"$2,639,314"
268,"Delon Wright, SG",Memphis Grizzlies,"$2,536,898"
269,"D.J. Wilson, F",Milwaukee Bucks,"$2,534,280"
270,"Zhaire Smith, G",Philadelphia 76ers,"$2,526,840"
271,"Dario Saric, PF",Minnesota Timberwolves,"$2,526,840"
272,"Taurean Prince, PF",Atlanta Hawks,"$2,526,840"
273,"Justin Anderson, F",Atlanta Hawks,"$2,516,048"
274,"Manu Ginobili, G",San Antonio Spurs,"$2,500,000"
275,"Reggie Bullock, SF",Los Angeles Lakers,"$2,500,000"
276,"Bobby Portis, C",Washington Wizards,"$2,494,346"
277,"Dante Cunningham, F",San Antonio Spurs,"$2,487,000"
278,"Donte DiVincenzo, SG",Milwaukee Bucks,"$2,481,000"
279,"Rondae Hollis-Jefferson, SF",Brooklyn Nets,"$2,470,357"
280,"Emeka Okafor, C",Philadelphia 76ers,"$2,445,085"
281,"Kendrick Perkins, C",Cleveland Cavaliers,"$2,445,085"
282,"Tyus Jones, PG",Minnesota Timberwolves,"$2,444,053"
283,"Jarell Martin, F",Orlando Magic,"$2,416,222"
284,"T.J. Leaf, PF",Indiana Pacers,"$2,407,560"
285,"Wayne Ellington, SG",Detroit Pistons,"$2,383,076"
286,"Lonnie Walker IV, SG",San Antonio Spurs,"$2,357,160"
287,"John Collins, PF",Atlanta Hawks,"$2,299,080"
288,"Denzel Valentine, SG",Utah Jazz,"$2,280,600"
289,"Larry Nance Jr., PF",Cleveland Cavaliers,"$2,272,391"
290,"Kevin Huerter, SG",Atlanta Hawks,"$2,250,960"
291,"Brandon Jennings, G",Milwaukee Bucks,"$2,222,803"
292,"Harry Giles III, PF",Sacramento Kings,"$2,207,040"
293,"Darius Miller, SF",New Orleans Pelicans,"$2,205,000"
294,"Juancho Hernangomez, F",Denver Nuggets,"$2,166,360"
295,"Josh Okogie, SF",Minnesota Timberwolves,"$2,160,720"
296,"Raul Neto, PG",Utah Jazz,"$2,150,000"
297,"Terrance Ferguson, SF",Oklahoma City Thunder,"$2,118,840"
298,"Grayson Allen, SG",Utah Jazz,"$2,074,320"
299,"Sean Kilpatrick, G",Chicago Bulls,"$2,054,856"
300,"OG Anunoby, SF",Toronto Raptors,"$2,034,120"
301,"Jarrett Allen, C",Brooklyn Nets,"$2,034,120"
302,"Corey Brewer, F",Sacramento Kings,"$2,000,000"
303,"Torrey Craig, SF",Denver Nuggets,"$2,000,000"
304,"Chandler Hutchison, SF",Chicago Bulls,"$1,990,520"
305,"Ante Zizic, C",Cleveland Cavaliers,"$1,952,760"
306,"Shabazz Napier, G",Brooklyn Nets,"$1,942,422"
307,"Aaron Holiday, PG",Indiana Pacers,"$1,911,960"
308,"Tyler Lydon, F",Denver Nuggets,"$1,874,640"
309,"DeAndre Liggins, G",Miami Heat,"$1,795,015"
310,"Trey Burke, PG",Dallas Mavericks,"$1,795,015"
311,"Malik Beasley, SG",Denver Nuggets,"$1,773,840"
312,"Moritz Wagner, C",Los Angeles Lakers,"$1,762,080"
313,"Anfernee Simons, SG",Portland Trail Blazers,"$1,760,520"
314,"Nerlens Noel, C",Oklahoma City Thunder,"$1,757,429"
315,"Caleb Swanigan, F",Sacramento Kings,"$1,740,000"
316,"Furkan Korkmaz, SG",Philadelphia 76ers,"$1,740,000"
317,"Landry Shamet, SG",LA Clippers,"$1,703,649"
318,"Caris LeVert, SG",Brooklyn Nets,"$1,702,800"
319,"Jonah Bolden, PF",Philadelphia 76ers,"$1,690,000"
320,"Kyle Kuzma, SF",Los Angeles Lakers,"$1,689,840"
321,"Tony Bradley, C",Utah Jazz,"$1,679,520"
322,"Derrick White, PG",San Antonio Spurs,"$1,667,160"
323,"Spencer Dinwiddie, PG",Brooklyn Nets,"$1,656,092"
324,"Julyan Stone, G",Chicago Bulls,"$1,656,092"
325,"MarShon Brooks, G",Memphis Grizzlies,"$1,656,092"
326,"Josh Hart, SG",Los Angeles Lakers,"$1,655,160"
327,"Robert Williams III, C",Boston Celtics,"$1,654,440"
328,"Jacob Evans, G",Golden State Warriors,"$1,644,240"
329,"Pat Connaughton, SG",Milwaukee Bucks,"$1,641,000"
330,"DeAndre' Bembry, SG",Atlanta Hawks,"$1,634,640"
331,"Dzanan Musa, F",Brooklyn Nets,"$1,632,240"
332,"James Ennis III, F",Philadelphia 76ers,"$1,621,415"
333,"Omari Spellman, F",Atlanta Hawks,"$1,620,480"
334,"Luke Kornet, F",New York Knicks,"$1,619,260"
335,"Rodions Kurucs, SF",Brooklyn Nets,"$1,618,320"
336,"Richaun Holmes, C",Phoenix Suns,"$1,600,520"
337,"T.J. McConnell, PG",Philadelphia 76ers,"$1,600,520"
338,"Dwight Buycks, G",Detroit Pistons,"$1,600,520"
339,"Malachi Richardson, G",Toronto Raptors,"$1,569,360"
340,"Jahlil Okafor, C",New Orleans Pelicans,"$1,567,707"
341,"Pascal Siakam, PF",Toronto Raptors,"$1,544,951"
342,"Dejounte Murray, PG",San Antonio Spurs,"$1,544,951"
343,"Damian Jones, C",Golden State Warriors,"$1,544,951"
344,"Georgios Papagiannis, C",Portland Trail Blazers,"$1,544,951"
345,"Chinanu Onuaku, C",Portland Trail Blazers,"$1,544,951"
346,"Quinn Cook, PG",Golden State Warriors,"$1,544,951"
347,"Skal Labissiere, F",Portland Trail Blazers,"$1,544,951"
348,"Jake Layman, SF",Portland Trail Blazers,"$1,544,951"
349,"Ivica Zubac, C",LA Clippers,"$1,544,951"
350,"Wade Baldwin IV, G",Portland Trail Blazers,"$1,544,951"
351,"Malcolm Brogdon, PG",Milwaukee Bucks,"$1,544,951"
352,"Andrew Harrison, G",New Orleans Pelicans,"$1,544,951"
353,"Cheick Diallo, F",New Orleans Pelicans,"$1,544,951"
354,"Rodney McGruder, G",Miami Heat,"$1,544,951"
355,"Dorian Finney-Smith, PF",Dallas Mavericks,"$1,544,951"
356,"Paul Zipser, F",Chicago Bulls,"$1,544,951"
357,"Wayne Selden, G",Chicago Bulls,"$1,544,951"
358,"Willy Hernangomez, C",Charlotte Hornets,"$1,544,951"
359,"Timothe Luwawu-Cabarrot, SG",Chicago Bulls,"$1,544,951"
360,"Alex Poythress, F",Atlanta Hawks,"$1,544,951"
361,"Isaiah Thomas, G",Denver Nuggets,"$1,512,601"
362,"Shelvin Mack, G",Charlotte Hornets,"$1,512,601"
363,"Omri Casspi, F",Memphis Grizzlies,"$1,512,601"
364,"Raymond Felton, G",Oklahoma City Thunder,"$1,512,601"
365,"Quincy Pondexter, F",San Antonio Spurs,"$1,512,601"
366,"Troy Williams, F",Sacramento Kings,"$1,512,601"
367,"JaVale McGee, C",Los Angeles Lakers,"$1,512,601"
368,"Georges Niang, SF",Utah Jazz,"$1,512,601"
369,"Amir Johnson, F",Philadelphia 76ers,"$1,512,601"
370,"Derrick Rose, PG",Minnesota Timberwolves,"$1,512,601"
371,"Noah Vonleh, F",New York Knicks,"$1,512,601"
372,"Jamal Crawford, G",Phoenix Suns,"$1,512,601"
373,"Luol Deng, F",Minnesota Timberwolves,"$1,512,601"
374,"Treveon Graham, F",Brooklyn Nets,"$1,512,601"
375,"Isaiah Canaan, G",Milwaukee Bucks,"$1,512,601"
376,"Udonis Haslem, PF",Miami Heat,"$1,512,601"
377,"Dwyane Wade, G",Miami Heat,"$1,512,601"
378,"Carmelo Anthony, PF",Houston Rockets,"$1,512,601"
379,"David Nwaba, SF",Cleveland Cavaliers,"$1,512,601"
380,"Christian Wood, C",New Orleans Pelicans,"$1,512,601"
381,"Gerald Green, G",Houston Rockets,"$1,512,601"
382,"Kevon Looney, C",Golden State Warriors,"$1,512,601"
383,"Jonas Jerebko, F",Golden State Warriors,"$1,512,601"
384,"Jose Calderon, G",Detroit Pistons,"$1,512,601"
385,"Zaza Pachulia, C",Detroit Pistons,"$1,512,601"
386,"Jeff Green, PF",Washington Wizards,"$1,512,601"
387,"Devin Harris, G",Dallas Mavericks,"$1,512,601"
388,"Channing Frye, F",Cleveland Cavaliers,"$1,512,601"
389,"Derrick Jones Jr., SF",Miami Heat,"$1,512,601"
390,"Ian Clark, G",New Orleans Pelicans,"$1,512,601"
391,"Vince Carter, G",Atlanta Hawks,"$1,512,601"
392,"Svi Mykhailiuk, SG",Detroit Pistons,"$1,487,694"
393,"Mitchell Robinson, C",New York Knicks,"$1,485,440"
394,"Tyler Dorsey, G",Memphis Grizzlies,"$1,378,242"
395,"Dillon Brooks, SF",Memphis Grizzlies,"$1,378,242"
396,"Dakari Johnson, C",Memphis Grizzlies,"$1,378,242"
397,"Khem Birch, C",Orlando Magic,"$1,378,242"
398,"Thomas Bryant, C",Washington Wizards,"$1,378,242"
399,"Royce O'Neale, PF",Utah Jazz,"$1,378,242"
400,"Antonius Cleveland, G",Oklahoma City Thunder,"$1,378,242"
401,"Jaylen Morris, F",Milwaukee Bucks,"$1,378,242"
402,"Brandon Paul, G",San Antonio Spurs,"$1,378,242"
403,"Jawun Evans, G",Oklahoma City Thunder,"$1,378,242"
404,"Abdel Nader, SF",Oklahoma City Thunder,"$1,378,242"
405,"Sindarius Thornwell, SG",LA Clippers,"$1,378,242"
406,"Ivan Rabb, PF",Memphis Grizzlies,"$1,378,242"
407,"Dwayne Bacon, SG",Charlotte Hornets,"$1,378,242"
408,"Damyean Dotson, SG",New York Knicks,"$1,378,242"
409,"Rodney Purvis, G",Miami Heat,"$1,378,242"
410,"Frank Mason III, G",Sacramento Kings,"$1,378,242"
411,"David Stockton, G",Los Angeles Lakers,"$1,378,242"
412,"Semi Ojeleye, PF",Boston Celtics,"$1,378,242"
413,"Zhou Qi, C",Houston Rockets,"$1,378,242"
414,"Frank Jackson, PG",New Orleans Pelicans,"$1,378,242"
415,"Sterling Brown, SF",Milwaukee Bucks,"$1,378,242"
416,"Maxi Kleber, PF",Dallas Mavericks,"$1,378,242"
417,"Jordan Bell, F",Golden State Warriors,"$1,378,242"
418,"Ike Anigbogu, C",Indiana Pacers,"$1,378,242"
419,"Daniel Theis, C",Boston Celtics,"$1,378,242"
420,"Wes Iwundu, SF",Orlando Magic,"$1,378,242"
421,"Jabari Bird, G",Atlanta Hawks,"$1,349,464"
422,"Ben Moore, F",San Antonio Spurs,"$1,349,383"
423,"Ryan Arcidiacono, G",Chicago Bulls,"$1,349,383"
424,"Monte Morris, PG",Denver Nuggets,"$1,349,383"
