,Player,Team,Annual Salary
97,"Courtney Lee, G",New York Knicks,"$12,253,780"
98,"Solomon Hill, SF",New Orleans Pelicans,"$12,236,535"
99,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000"
100,"Wilson Chandler, F",Denver Nuggets,"$12,016,854"
101,"Derrick Favors, C",Utah Jazz,"$12,000,000"
102,"Kemba Walker, PG",Charlotte Hornets,"$12,000,000"
103,"Dion Waiters, G",Miami Heat,"$11,550,000"
104,"John Henson, F",Milwaukee Bucks,"$11,327,466"
105,"Omer Asik, C",Chicago Bulls,"$11,286,516"
106,"Monta Ellis, SG",Indiana Pacers,"$11,227,000"
107,"Alec Burks, SG",Utah Jazz,"$10,845,506"
108,"Patty Mills, PG",San Antonio Spurs,"$10,714,286"
109,"Tony Snell, SF",Milwaukee Bucks,"$10,607,143"
110,"Bojan Bogdanovic, SF",Indiana Pacers,"$10,500,000"
111,"Terrence Ross, SG",Orlando Magic,"$10,500,000"
112,"Mirza Teletovic, PF",Milwaukee Bucks,"$10,500,000"
113,"Robert Covington, PF",Philadelphia 76ers,"$10,464,092"
114,"Iman Shumpert, G",Cleveland Cavaliers,"$10,337,079"
115,"Maurice Harkless, SF",Portland Trail Blazers,"$10,162,922"
116,"Jon Leuer, F",Detroit Pistons,"$10,002,681"
117,"Danny Green, SF",San Antonio Spurs,"$10,000,000"
118,"Darren Collison, PG",Indiana Pacers,"$10,000,000"
119,"Jared Dudley, SF",Phoenix Suns,"$10,000,000"
120,"Al Jefferson, C",Indiana Pacers,"$10,000,000"
121,"Meyers Leonard, C",Portland Trail Blazers,"$9,904,495"
122,"Matthew Dellavedova, PG",Milwaukee Bucks,"$9,607,500"
123,"Bogdan Bogdanovic, SG",Sacramento Kings,"$9,412,280"
124,"Josh Richardson, SG",Miami Heat,"$9,367,200"
125,"Norman Powell, SF",Toronto Raptors,"$9,367,200"
126,"Andre Roberson, F",Oklahoma City Thunder,"$9,259,260"
127,"Dwight Powell, C",Dallas Mavericks,"$9,003,125"
128,"Gerald Henderson, SG",Philadelphia 76ers,"$9,000,000"
129,"Avery Bradley, PG",LA Clippers,"$8,808,989"
130,"Markieff Morris, PF",Washington Wizards,"$8,600,000"
131,"Jerryd Bayless, G",Philadelphia 76ers,"$8,575,916"
132,"JaMychal Green, PF",Memphis Grizzlies,"$8,533,333"
133,"Cristiano Felicio, PF",Chicago Bulls,"$8,470,980"
134,"E'Twaun Moore, G",New Orleans Pelicans,"$8,445,024"
135,"Rudy Gay, SF",San Antonio Spurs,"$8,406,000"
136,"Kosta Koufos, C",Sacramento Kings,"$8,393,000"
137,"Markelle Fultz, PG",Philadelphia 76ers,"$8,339,880"
138,"Kevin Garnett, PF",Minnesota Timberwolves,"$8,000,000"
139,"Yi Jianlian, SF",Los Angeles Lakers,"$8,000,000"
